year,tsub,sigma2
644.0,2.3205664209189267,3.098495446541997
645.0,2.320569809942735,3.100597388927313
646.0,2.320530188492329,3.1025974018278983
647.0,2.3204503445866616,3.10450728742574
648.0,2.3203286367065017,3.1063187247864246
649.0,2.320188357729509,3.1080426700835626
650.0,2.3200449829074525,3.1096634497833953
651.0,2.3199184515216444,3.1111909748651096
652.0,2.319844242334048,3.1126303651859475
653.0,2.3198542632763357,3.1139754832765076
654.0,2.319944640248435,3.115202879908374
655.0,2.3200835740885193,3.116335448379059
656.0,2.3202506124750943,3.117365822523157
657.0,2.3204546860738198,3.118286097521555
658.0,2.3206901897398806,3.119126688232771
659.0,2.3209674721656333,3.1199273639729124
660.0,2.321304240225156,3.1207201901534525
661.0,2.3217501173971384,3.121510151401485
662.0,2.3223927172253247,3.122286416869946
663.0,2.3232946245149924,3.123041570330879
664.0,2.3245147094790237,3.1237626882749203
665.0,2.3261122288449276,3.1244249984216927
666.0,2.328129939571579,3.1250006814697064
667.0,2.330626749256161,3.1254677175616656
668.0,2.333621199496534,3.1258106107891335
669.0,2.3371294818386317,3.1260408312824133
670.0,2.3411224297959663,3.1261857569676734
671.0,2.3455633134198353,3.1262694468230925
672.0,2.3503945525228227,3.1263378837612095
673.0,2.3555621743099606,3.1264276935094193
674.0,2.3609824782881086,3.126571648913543
675.0,2.36660072661378,3.126826260031541
676.0,2.3723481871065077,3.1272340213603056
677.0,2.378157025459137,3.127821516682054
678.0,2.3839382601382817,3.1285836901587185
679.0,2.389606547486894,3.129516094707068
680.0,2.395082755681172,3.130598510719237
681.0,2.400302544564121,3.1318260302903846
682.0,2.405176502752522,3.133167620704497
683.0,2.4096223079006864,3.134605353666138
684.0,2.413580660197008,3.136130317600752
685.0,2.417010360588793,3.137719651305744
686.0,2.4198718997240265,3.1393089340605496
687.0,2.422177887979339,3.140877593286956
688.0,2.4239560123516806,3.1424320354308777
689.0,2.4252634965459388,3.143970991554726
690.0,2.4261665861953374,3.145490090015326
691.0,2.426728342411813,3.146985117525008
692.0,2.4269832002223515,3.14843736067859
693.0,2.4269554181304174,3.149872375816248
694.0,2.426688349925516,3.15130120749703
695.0,2.426216131657778,3.1527211640215147
696.0,2.4255854725789687,3.1541213509048203
697.0,2.4248428845531813,3.155462315415901
698.0,2.424008377460231,3.1567026354719006
699.0,2.4231131534771215,3.1578311597340236
700.0,2.422173463406908,3.1588354079359173
701.0,2.421225782248339,3.1596822306118617
702.0,2.4202732713812014,3.1603615885962197
703.0,2.419330290718607,3.1608746967203323
704.0,2.4183848924118427,3.161226202323041
705.0,2.4174283876629112,3.1614276698096844
706.0,2.416446434316861,3.1614939273923643
707.0,2.4154425088193787,3.161432138525725
708.0,2.414409320358396,3.1612407942360323
709.0,2.4133505639280237,3.1609166355750693
710.0,2.412269425140398,3.1604592604610415
711.0,2.411177948603687,3.1598420232771653
712.0,2.4100860947133844,3.159030136927426
713.0,2.409011571885853,3.1580010707240453
714.0,2.4079686461279453,3.156739738013188
715.0,2.4069517614467637,3.15525276816218
716.0,2.405981588566032,3.153576821565936
717.0,2.4050997222997,3.1518074932683264
718.0,2.404313665094972,3.149967681434527
719.0,2.403619044728239,3.1480452120949822
720.0,2.403010423535875,3.1460482243679335
721.0,2.402480965198966,3.143978922721656
722.0,2.402042810499796,3.1418346862695317
723.0,2.401745490722737,3.1396412674189054
724.0,2.4016024725984146,3.137401203052979
725.0,2.401622632437334,3.135110273335228
726.0,2.4018340676738035,3.132755028336557
727.0,2.402251452434167,3.130326751198027
728.0,2.402903864993908,3.1278817633065246
729.0,2.4038030313078442,3.125455607963766
730.0,2.404922729611469,3.1230373733216
731.0,2.4062590758900577,3.1206371156394397
732.0,2.40778503882047,3.1182843890685628
733.0,2.4095079732009324,3.1159964306313737
734.0,2.4113919707259734,3.1137750557668578
735.0,2.432748838984713,3.1167045814487193
736.0,2.4536649522614447,3.119720642935326
737.0,2.474136038200591,3.122892810625208
738.0,2.4939479444877497,3.126253802184404
739.0,2.5129211583867583,3.129864339529624
740.0,2.531271935301378,3.1338737427841976
741.0,2.5490330766211176,3.1377106201432268
742.0,2.566230302915499,3.141476971250846
743.0,2.5827367014117417,3.1453431049400122
744.0,2.598670426004304,3.1495587668447915
745.0,2.6144925432886037,3.1540019938997492
746.0,2.6304436363369863,3.158595989695599
747.0,2.6464892000490225,3.1631399529080557
748.0,2.6627509873390043,3.1677389079854836
749.0,2.679220739770885,3.172560005075146
750.0,2.6959507954285806,3.1777852994432467
751.0,2.712683814897596,3.183080969446019
752.0,2.729140421023968,3.1883218087489924
753.0,2.7452314904615616,3.1934031664763114
754.0,2.760779347180214,3.1981469814408996
755.0,2.7760803959445326,3.2028600615156226
756.0,2.7912927499294224,3.207985402367197
757.0,2.806376704184917,3.213326154822318
758.0,2.8210739358798973,3.2187164546373164
759.0,2.834990906992764,3.223967318815095
760.0,2.8482124579183465,3.229476637665557
761.0,2.861087585975234,3.235229673165828
762.0,2.8737787937037016,3.2409439931416935
763.0,2.886402919199236,3.2463845013772827
764.0,2.8990439674203223,3.2515640453277883
765.0,2.9117314973647006,3.256840064430569
766.0,2.90520454023313,3.2569874214595087
767.0,2.8990000781316976,3.257237281312015
768.0,2.89297911677044,3.2573860500585647
769.0,2.8873148348382065,3.2580346800633047
770.0,2.8821385521837453,3.259342496244609
771.0,2.8771677254933934,3.260695199336543
772.0,2.87213172434353,3.261752437529387
773.0,2.866821662478036,3.2622478512422344
774.0,2.861604092932037,3.262404992673234
775.0,2.8565042072548863,3.2619408672740664
776.0,2.851201697410513,3.2610878219728936
777.0,2.8454843674021557,3.2601184312285865
778.0,2.839283062259865,3.2595932343089946
779.0,2.8323083999775385,3.2594986461253748
780.0,2.8244695382617966,3.2595764597662082
781.0,2.8159004155387177,3.2595422738211
782.0,2.8068622227949023,3.2594332944244764
783.0,2.797723693357013,3.2591316656669673
784.0,2.7887995268775185,3.258826971220307
785.0,2.780229784214749,3.258953356327185
786.0,2.771943117948438,3.259550570232662
787.0,2.763978256619885,3.2599719873112356
788.0,2.756397291319483,3.260261899981078
789.0,2.7495214764085887,3.260718334927244
790.0,2.7435617578996765,3.2615093769975587
791.0,2.738352668737718,3.2620728816893596
792.0,2.733405081452957,3.262371219045096
793.0,2.728630260186953,3.26262084006329
794.0,2.7241412393530604,3.2628843810129777
795.0,2.71980618051354,3.263238656172379
796.0,2.71544431729754,3.2632878724490118
797.0,2.7108004506523002,3.262787632931957
798.0,2.7062166566475927,3.262054232738792
799.0,2.701610198565348,3.2613758178194687
800.0,2.6442924784371775,3.0141459749115826
801.0,2.6388591457058297,3.0130705672155367
802.0,2.631786691386262,3.011298034185388
803.0,2.6255165481379317,3.010974977812287
804.0,2.6208026549572825,3.0120273208950064
805.0,2.616337086389847,3.013787081202449
806.0,2.611482017465976,3.0158239331362937
807.0,2.6061212990038727,3.017840572389312
808.0,2.6005976564594144,3.0197395960034346
809.0,2.59532601089624,3.021490329238148
810.0,2.590444695467524,3.0227198392680275
811.0,2.5857610476578383,3.023383218270623
812.0,2.581190422452614,3.023823800179004
813.0,2.5770205684924794,3.024192266212965
814.0,2.573189800730967,3.0247233158508076
815.0,2.5694827309904182,3.02554816873434
816.0,2.5658777614835375,3.0264392337152164
817.0,2.5623165132237884,3.0272144994109054
818.0,2.558742519949133,3.027789029291934
819.0,2.555145102095695,3.028346519280747
820.0,2.55140902694721,3.028689706001143
821.0,2.5476459544916246,3.0288601427002093
822.0,2.543861401810595,3.02917172030873
823.0,2.5399593601473303,3.0297801775508804
824.0,2.5359546802658515,3.03069254842123
825.0,2.5318799937076513,3.0318271663645993
826.0,2.527778044405529,3.0333249358285026
827.0,2.52390749409011,3.034989175998793
828.0,2.5203895982607003,3.036783009327825
829.0,2.517253150726524,3.0384206661257878
830.0,2.5144751926024593,3.039768810592008
831.0,2.5120173357990447,3.0405257215022785
832.0,2.5096634377566387,3.0405517141007325
833.0,2.507463564453143,3.04016374304035
834.0,2.5050576324690335,3.0396931351044776
835.0,2.5024337796904077,3.039403720066628
836.0,2.499438401274772,3.0395619834912666
837.0,2.4960582166431475,3.040501352402793
838.0,2.492379725874402,3.042385462533874
839.0,2.488605081249571,3.044494569043456
840.0,2.4849180711698846,3.0465435654890696
841.0,2.481417628021708,3.0487493812955404
842.0,2.47828258347142,3.050678427970763
843.0,2.4757126860754175,3.0520176503689544
844.0,2.4735669097244877,3.0529635756813085
845.0,2.4718092759597954,3.053588787782276
846.0,2.4701599603937927,3.0539236584282867
