site,longitude,latitude,origin,doi_link
GeoB1112_4,-10.75,-5.77833,PublicationDOI,10.1007/978-3-642-58646-0_1
GeoB1112_4,-10.75,-5.77833,PublicationDOI,10.1029/1999PA000370
GeoB1112_4,-10.75,-5.77833,PublicationDOI,10.1007/978-3-642-80353-6_25
GeoB1112_4,-10.75,-5.77833,PublicationDOI,no DOI
GeoB1112_4,-10.75,-5.77833,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.103626
GeoB1112_4,-10.75,-5.77833,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.57174
GeoB1112_4,-10.75,-5.77833,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.710811
GeoB1112_4,-10.75,-5.77833,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.54657
GeoB1112_4,-10.75,-5.77833,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.54765
GeoB1113_4,-11.03666,-5.745,PublicationDOI,10.1029/93PA03301
GeoB1113_4,-11.03666,-5.745,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.836149
GeoB1115_3,-12.56,-3.56166,PublicationDOI,10.1007/978-3-642-80353-6_30
GeoB1115_3,-12.56,-3.56166,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.103627
GeoB1115_3,-12.56,-3.56166,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.103628
GeoB1117_2,-14.89666,-3.815,PublicationDOI,10.1007/978-3-642-80353-6_30
GeoB1117_2,-14.89666,-3.815,PublicationDOI,no DOI
GeoB1117_2,-14.89666,-3.815,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.103629
GeoB1117_2,-14.89666,-3.815,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.713768
GeoB1117_2,-14.89666,-3.815,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.548402
GeoB1118_3,-16.42833,-3.56,PublicationDOI,10.1007/978-3-642-80353-6_30
GeoB1118_3,-16.42833,-3.56,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.103632
GeoB1118_3,-16.42833,-3.56,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.58781
GeoB1211_3,7.533333,-24.475,PublicationDOI,10.1007/978-3-642-80353-6_30
GeoB1211_3,7.533333,-24.475,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.103634
GeoB1214_1,7.24,-24.69,PublicationDOI,10.1007/978-3-642-80353-6_30
GeoB1214_1,7.24,-24.69,PublicationDOI,10.1016/S0031-0182(96)00137-X
GeoB1214_1,7.24,-24.69,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.103635
GeoB1214_1,7.24,-24.69,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.52770
GeoB12605_3,39.108167,-5.573167,PublicationDOI,10.1002/2013PA002555
GeoB12605_3,39.108167,-5.573167,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.833015
GeoB12610_2,39.423667,-4.816667,PublicationDOI,10.1002/jqs.2767
GeoB12610_2,39.423667,-4.816667,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.841927
GeoB12615_4,39.840833,-7.138333,PublicationDOI,10.5194/cp-10-293-2014
GeoB12615_4,39.840833,-7.138333,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.829472
GeoB13731_1,-2.553667,35.413333,PublicationDOI,10.1016/j.margeo.2013.04.009
GeoB13731_1,-2.553667,35.413333,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.819094
GeoB1505_2,-33.015,2.266667,PublicationDOI,10.1029/1999PA900027
GeoB1505_2,-33.015,2.266667,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.55378
GeoB16202_2,-41.591667,-1.908333,PublicationDOI,10.1002/2017PA003095
GeoB16202_2,-41.591667,-1.908333,PublicationDOI,10.1002/2017PA003084
GeoB16202_2,-41.591667,-1.908333,PublicationDOI,10.1029/2018PA003437
GeoB16202_2,-41.591667,-1.908333,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.875792
GeoB16202_2,-41.591667,-1.908333,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.877641
GeoB16202_2,-41.591667,-1.908333,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.877698
GeoB16202_2,-41.591667,-1.908333,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.895030
GeoB16203_1,-41.7185,-2.035167,PublicationDOI,10.1002/2017PA003095
GeoB16203_1,-41.7185,-2.035167,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.875793
GeoB16205_4,-43.096667,-1.351833,PublicationDOI,10.1002/2017PA003095
GeoB16205_4,-43.096667,-1.351833,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.875794
GeoB16206_1,-43.023667,-1.579167,PublicationDOI,10.1002/2017PA003095
GeoB16206_1,-43.023667,-1.579167,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.875795
GeoB16206_1,-43.023667,-1.579167,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.875826
GeoB16224_1,-52.083167,6.656333,PublicationDOI,10.1002/2017PA003095
GeoB16224_1,-52.083167,6.656333,PublicationDOI,10.1016/j.quascirev.2017.12.005
GeoB16224_1,-52.083167,6.656333,PublicationDOI,10.1016/j.epsl.2019.05.006
GeoB16224_1,-52.083167,6.656333,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.875796
GeoB16224_1,-52.083167,6.656333,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.887772
GeoB16224_1,-52.083167,6.656333,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.902154
GeoB16224_1,-52.083167,6.656333,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.902158
GeoB16224_1,-52.083167,6.656333,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.902159
GeoB16224_1,-52.083167,6.656333,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.902160
GeoB16602,113.709,18.951,PublicationDOI,10.1016/j.epsl.2018.04.046
GeoB16602,113.709,18.951,PublicationDOI,10.1038/s41561-018-0250-1
GeoB16602,113.709,18.951,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.893031
GeoB16602,113.709,18.951,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.893006
GeoB16602,113.709,18.951,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.897471
GeoB1710_3,11.698333,-23.431667,PublicationDOI,10.1016/S0031-0182(96)00137-X
GeoB1710_3,11.698333,-23.431667,PublicationDOI,10.1007/978-3-642-18917-3_26
GeoB1710_3,11.698333,-23.431667,PublicationDOI,10.1006/qres.1999.2040
GeoB1710_3,11.698333,-23.431667,PublicationDOI,10.1594/PANGAEA.57980
GeoB1710_3,11.698333,-23.431667,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.52771
GeoB1710_3,11.698333,-23.431667,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.226973
GeoB1710_3,11.698333,-23.431667,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.58041
GeoB1710_3,11.698333,-23.431667,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.57980
GeoB1711_4,12.376667,-23.315,PublicationDOI,10.1016/S0031-0182(96)00136-8
GeoB1711_4,12.376667,-23.315,PublicationDOI,10.1006/qres.1999.2040
GeoB1711_4,12.376667,-23.315,PublicationDOI,10.1594/PANGAEA.143593
GeoB1711_4,12.376667,-23.315,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.218245
GeoB1711_4,12.376667,-23.315,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.58042
GeoB1711_4,12.376667,-23.315,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.52469
GeoB1711_4,12.376667,-23.315,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.143593
GeoB1720_2,13.8348144444444,-28.9937033333333,PublicationDOI,10.1038/NGEO527
GeoB1720_2,13.8348144444444,-28.9937033333333,DataLink,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/gb1720-2-tab.txt
GeoB17426_3,150.8605,-2.187833,PublicationDOI,10.1029/2019PA003832
GeoB17426_3,150.8605,-2.187833,DataLink,https://doi.org/10.1594/PANGAEA.910129
GeoB17426_3,150.8605,-2.187833,DataLink,https://doi.org/10.1594/PANGAEA.962980
GeoB18131_1,-3.155017,35.468217,PublicationDOI,10.1016/j.margeo.2019.02.007
GeoB18131_1,-3.155017,35.468217,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.905895
GeoB3004_1,52.92,14.605,PublicationDOI,10.1029/2006PA001284
GeoB3004_1,52.92,14.605,PublicationDOI,10.1029/2004PA001044
GeoB3004_1,52.92,14.605,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.548185
GeoB3104_1,-37.716667,-3.666667,PublicationDOI,10.1016/S0012-821X(99)00025-4
GeoB3104_1,-37.716667,-3.666667,PublicationDOI,10.1006/qres.1998.1992
GeoB3104_1,-37.716667,-3.666667,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.54790
GeoB3104_1,-37.716667,-3.666667,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.81649
GeoB3104_1,-37.716667,-3.666667,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.54826
GeoB3129_1,-36.636667,-4.613333,PublicationDOI,10.1016/j.epsl.2005.11.012
GeoB3129_1,-36.636667,-4.613333,PublicationDOI,10.1007/s003670050111
GeoB3129_1,-36.636667,-4.613333,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.415962
GeoB3129_1,-36.636667,-4.613333,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.81611
GeoB3129_1,-36.636667,-4.613333,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.82334
GeoB3202_1,-39.978333,-21.616667,PublicationDOI,10.1016/S0012-821X(99)00025-4
GeoB3202_1,-39.978333,-21.616667,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.81613
GeoB3302_1,-72.091,-33.2181667,PublicationDOI,10.1016/S0277-3791(02)00012-4
GeoB3302_1,-72.091,-33.2181667,PublicationDOI,10.1029/2004PA001003
GeoB3302_1,-72.091,-33.2181667,PublicationDOI,10.1006/qres.1998.2010
GeoB3302_1,-72.091,-33.2181667,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.66805
GeoB3302_1,-72.091,-33.2181667,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.226935
GeoB3302_1,-72.091,-33.2181667,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.228736
GeoB3327_5,-79.991667,-43.24,PublicationDOI,10.1029/2012PA002317
GeoB3327_5,-79.991667,-43.24,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.792638
